mode,concurrency,round,sample_index,Timestamp,Pageouts_per_sec,Swapouts_per_sec,Total_ops_per_sec
full_context,2,1,1,,1.0,0.0,1.0
full_context,2,1,2,,2.0,0.0,2.0
full_context,2,1,3,,0.0,0.0,0.0
full_context,2,1,4,,1.0,0.0,1.0
full_context,2,1,5,,4.0,0.0,4.0
full_context,2,1,6,,2.0,0.0,2.0
full_context,2,1,7,,60.0,0.0,60.0
full_context,2,1,8,,10.0,0.0,10.0
full_context,2,1,9,,0.0,0.0,0.0
full_context,2,1,10,,9.0,0.0,9.0
full_context,2,1,11,,0.0,0.0,0.0
full_context,2,1,12,,1.0,0.0,1.0
full_context,2,1,13,,3.0,0.0,3.0
full_context,2,1,14,,0.0,0.0,0.0
full_context,2,1,15,,0.0,0.0,0.0
full_context,2,1,16,,2.0,0.0,2.0
full_context,2,1,17,,11.0,0.0,11.0
full_context,2,1,18,,2.0,0.0,2.0
full_context,2,1,19,,5.0,0.0,5.0
full_context,2,1,20,,5.0,0.0,5.0
full_context,2,1,21,,1.0,0.0,1.0
full_context,2,1,22,,0.0,0.0,0.0
full_context,2,1,23,,2.0,0.0,2.0
full_context,2,1,24,,0.0,0.0,0.0
full_context,2,1,25,,0.0,0.0,0.0
full_context,2,1,26,,41.0,0.0,41.0
full_context,2,1,27,,5.0,0.0,5.0
full_context,2,1,28,,11.0,0.0,11.0
full_context,2,1,29,,1.0,0.0,1.0
full_context,2,1,30,,4.0,0.0,4.0
full_context,2,1,31,,64.0,0.0,64.0
full_context,2,1,32,,2.0,0.0,2.0
full_context,2,1,33,,0.0,0.0,0.0
full_context,2,1,34,,61.0,0.0,61.0
full_context,2,1,35,,0.0,0.0,0.0
full_context,2,1,36,,1.0,0.0,1.0
full_context,2,1,37,,0.0,0.0,0.0
full_context,2,1,38,,5.0,0.0,5.0
full_context,2,1,39,,0.0,0.0,0.0
full_context,2,2,1,,0.0,0.0,0.0
full_context,2,2,2,,0.0,0.0,0.0
full_context,2,2,3,,0.0,0.0,0.0
full_context,2,2,4,,0.0,0.0,0.0
full_context,2,2,5,,0.0,0.0,0.0
full_context,2,2,6,,0.0,0.0,0.0
full_context,2,2,7,,0.0,0.0,0.0
full_context,2,2,8,,0.0,0.0,0.0
full_context,2,2,9,,0.0,0.0,0.0
full_context,2,2,10,,89.0,0.0,89.0
full_context,2,2,11,,0.0,0.0,0.0
full_context,2,2,12,,0.0,0.0,0.0
full_context,2,2,13,,0.0,0.0,0.0
full_context,2,2,14,,0.0,0.0,0.0
full_context,2,2,15,,4.0,0.0,4.0
full_context,2,2,16,,0.0,0.0,0.0
full_context,2,2,17,,0.0,0.0,0.0
full_context,2,2,18,,14.0,0.0,14.0
full_context,2,2,19,,3.0,0.0,3.0
full_context,2,2,20,,2.0,0.0,2.0
full_context,2,2,21,,10.0,0.0,10.0
full_context,2,2,22,,0.0,0.0,0.0
full_context,2,2,23,,4.0,0.0,4.0
full_context,2,2,24,,0.0,0.0,0.0
full_context,2,2,25,,3.0,0.0,3.0
full_context,2,2,26,,2.0,0.0,2.0
full_context,2,2,27,,0.0,0.0,0.0
full_context,2,2,28,,0.0,0.0,0.0
full_context,2,2,29,,0.0,0.0,0.0
full_context,2,2,30,,4.0,0.0,4.0
full_context,2,2,31,,0.0,0.0,0.0
full_context,2,2,32,,2.0,0.0,2.0
full_context,2,2,33,,17.0,0.0,17.0
