Time_s,Pageouts_per_sec,Swapouts_per_sec
1.01,0,0
2.01,0,0
3.01,0,0
4.01,0,0
5.02,0,0
6.02,0,0
7.02,0,0
8.03,0,0
9.03,0,0
10.04,0,0
11.04,0,0
12.04,0,0
13.05,0,0
14.05,0,0
15.05,0,0
16.06,0,0
17.06,0,0
18.07,0,0
19.07,0,0
20.07,0,0
22.08,0,0
23.08,0,0
24.09,0,0
25.09,0,0
26.09,0,0
27.1,0,0
28.1,0,0
29.11,0,0
30.11,0,0
31.11,0,0
32.12,0,0
33.12,0,0
34.12,0,0
35.13,0,0
36.13,0,0
37.13,0,0
38.14,0,0
39.14,0,0
40.15,0,0
41.15,0,0
43.16,0,0
44.16,0,0
45.16,0,0
46.17,0,0
47.17,0,0
48.17,0,0
49.18,0,0
50.18,0,0
51.18,0,0
52.18,0,0
53.19,0,0
54.19,0,0
55.19,0,0
56.2,0,0
57.2,0,0
58.21,0,0
59.21,0,0
60.21,0,0
61.22,0,0
62.22,0,0
64.22,0,0
65.23,0,0
66.23,0,0
67.23,0,0
68.23,0,0
69.24,0,0
70.24,0,0
71.25,0,0
72.25,0,0
73.25,0,0
74.25,0,0
75.26,0,0
76.26,0,0
77.26,0,0
78.27,0,0
79.27,0,0
80.28,0,0
81.28,0,0
82.28,0,0
83.29,0,0
85.3,0,0
86.3,0,0
87.31,0,0
88.31,0,0
89.31,0,0
90.32,0,0
91.32,0,0
92.32,0,0
93.33,0,0
94.33,0,0
95.34,0,0
96.34,0,0
97.35,0,0
98.35,0,0
99.35,0,0
100.35,0,0
101.36,0,0
102.36,0,0
103.37,0,0
104.37,0,0
106.38,0,0
107.38,0,0
108.39,0,0
109.39,0,0
110.4,0,0
111.4,0,0
112.4,0,0
113.41,0,0
114.41,0,0
115.41,0,0
116.42,0,0
117.42,0,0
118.43,0,0
119.43,0,0
120.43,0,0
121.44,0,0
122.44,0,0
123.44,0,0
124.44,0,0
125.45,0,0
127.46,0,0
128.46,0,0
129.46,0,0
130.46,0,0
131.47,0,0
132.47,0,0
133.48,0,0
134.48,0,0
135.49,0,0
136.49,0,0
137.5,0,0
138.5,0,0
139.5,0,0
140.5,0,0
141.51,0,0
142.51,0,0
143.51,0,0
144.51,0,0
145.52,0,0
146.52,0,0
148.53,0,0
149.53,0,0
150.53,0,0
151.53,0,0
152.54,0,0
153.54,0,0
154.54,0,0
155.55,0,0
156.55,0,0
157.55,0,0
158.55,0,0
159.56,0,0
160.56,0,0
161.56,0,0
162.57,0,0
163.57,0,0
164.57,0,0
165.57,0,0
166.57,0,0
167.58,0,0
169.58,0,0
170.59,0,0
171.59,0,0
172.59,0,0
173.6,0,0
174.6,0,0
175.6,0,0
176.61,0,0
177.61,0,0
178.62,0,0
179.62,0,0
