Time_s,Pageouts_per_sec,Swapouts_per_sec
1.01,0,0
2.01,0,0
3.01,0,0
4.02,0,0
5.02,0,0
6.02,0,0
7.03,0,0
8.03,0,0
9.04,0,0
10.04,34,0
11.05,0,0
12.05,0,0
13.05,0,0
14.05,0,0
15.06,6,0
16.06,2,0
17.07,13,0
18.07,2,0
19.08,0,0
20.08,0,0
22.09,0,0
23.09,0,0
24.09,12,0
25.1,0,0
26.1,0,0
27.11,5,0
28.11,10,0
29.12,0,0
30.12,2,0
31.12,0,0
32.13,0,0
33.13,20,0
34.13,1,0
35.14,1,0
36.14,0,0
37.14,2,0
38.15,0,0
39.15,1,0
40.16,0,0
41.16,1,0
43.17,0,0
44.18,9,0
45.18,1,0
46.19,0,0
47.19,1,0
48.2,9,0
49.2,0,0
50.2,0,0
51.21,0,0
52.21,8,0
53.22,1,0
54.22,0,0
55.23,6,0
56.23,0,0
57.24,7,0
58.24,2,0
59.24,1,0
60.25,9,0
61.25,0,0
62.25,6,0
64.26,13,0
65.26,4,0
66.26,2,0
67.27,13,0
68.27,2,0
69.28,34,0
70.28,14,0
71.28,0,0
72.29,0,0
73.29,0,0
74.3,31,0
75.3,0,0
76.31,11,0
77.31,0,0
78.32,0,0
79.32,0,0
80.32,32,0
81.33,25,0
82.33,7,0
83.33,0,0
85.34,3,0
86.34,12,0
87.35,0,0
88.35,0,0
89.35,13,0
90.36,0,0
91.36,55,0
92.37,1,0
93.37,8,0
94.38,0,0
95.38,5,0
96.39,3,0
97.39,17,0
98.4,1,0
99.4,0,0
100.4,0,0
101.41,0,0
102.41,1,0
103.42,0,0
104.42,22,0
106.43,1,0
107.43,0,0
108.44,0,0
