Time_s,Pageouts_per_sec,Swapouts_per_sec
1.01,0,0
2.01,0,0
3.02,0,0
4.02,0,0
5.02,4,0
6.03,3,0
7.03,1,0
8.03,0,0
9.04,0,0
10.04,0,0
11.05,1,0
12.05,2,18500
13.05,4,49804
14.06,4,62860
15.06,0,26128
16.07,0,33864
17.07,6,67504
18.08,1,34848
19.08,1,35080
20.09,7,58452
22.09,0,21580
23.09,3,1884
24.09,1,1472
25.1,1,20836
26.1,0,13696
27.11,0,7008
28.11,0,20700
29.11,0,11396
30.22,0,0
31.12,0,0
32.13,0,0
33.13,0,0
34.14,0,0
35.14,0,0
36.14,0,0
37.15,0,0
38.15,0,0
39.16,0,0
40.16,0,0
41.17,0,11892
43.17,0,0
44.18,0,0
45.18,0,0
46.18,0,0
47.19,0,0
48.19,0,0
49.19,0,0
50.19,0,0
51.2,0,0
52.2,0,0
53.21,0,0
54.21,0,0
55.22,0,0
56.22,0,0
57.23,0,0
58.23,0,0
59.24,0,0
60.24,0,0
61.24,0,0
62.25,0,0
64.25,0,0
65.25,0,0
66.25,0,0
67.26,0,0
68.26,0,0
69.26,0,0
70.26,0,0
71.26,0,0
72.27,0,0
73.27,0,0
74.28,0,0
75.28,0,0
76.28,0,0
77.29,0,0
78.29,0,0
79.29,0,0
80.3,0,0
81.3,0,0
82.3,0,0
83.31,0,0
85.32,0,0
86.32,0,0
87.32,0,0
88.32,0,0
89.32,0,0
90.32,0,0
91.33,0,0
92.33,0,0
93.34,0,0
94.34,0,0
95.35,0,0
96.35,0,0
97.35,0,0
98.35,0,0
99.36,0,0
100.36,0,0
101.37,0,0
102.37,0,0
103.37,0,0
104.38,0,0
106.38,0,0
107.39,0,0
108.39,0,0
109.39,0,0
110.4,0,0
111.4,0,0
112.4,0,0
113.4,0,0
114.41,0,0
115.41,0,0
116.42,0,0
117.42,0,0
118.42,0,0
119.43,0,0
120.43,0,0
121.43,0,0
122.44,0,0
123.44,0,0
124.44,0,0
125.45,0,0
127.45,0,0
128.45,0,0
129.45,0,0
130.46,0,0
131.46,0,0
132.46,0,0
133.47,0,0
134.47,0,0
135.48,0,0
136.48,0,0
137.49,0,0
138.49,0,0
139.49,0,0
140.49,0,0
141.49,0,0
142.5,0,0
143.5,0,0
144.51,0,0
145.51,0,0
146.51,0,0
148.52,0,0
149.52,0,0
150.53,0,0
151.53,0,0
152.53,0,0
153.54,0,0
154.54,0,0
155.54,0,0
156.55,0,0
157.55,0,0
158.56,0,0
159.56,0,0
160.57,0,0
161.57,0,0
162.58,0,0
163.58,0,0
164.59,0,0
165.59,0,0
166.59,0,0
167.59,0,0
169.61,0,0
170.61,0,0
171.62,0,0
172.62,0,0
173.62,0,0
174.63,0,0
175.63,0,0
176.63,0,0
177.64,0,0
